2016,24659,1968,150,Niebieski
2015,31000,1968,240,Czarny
1999,335000,1900,115,Czarny
2006,217000,1968,140,Czarny
2013,138000,2000,140,Czarny
2013,175000,20,140,Brązowy
2003,249000,1781,180,Czarny
2009,34000,1968,110,Czarny
2000,300000,1890,90,Niebieski
2007,235000,2000,140,Czarny
2011,136000,1968,140,Srebrny
2014,71000,1598,120,Inny kolor
2008,181000,2000,140,Czarny
2005,282210,2000,140,Srebrny
2012,138500,1998,140,Czerwony
2009,247398,1968,140,Szary
2018,5,1800,180,Czarny
2017,5,1395,150,Srebrny
2011,184000,1968,140,Szary
2013,93000,2000,140,Niebieski
2008,297000,1896,105,Czarny
2014,208620,1968,177,Szary
2014,155000,1968,177,Beżowy
2008,308500,1896,105,Biały
2017,30000,1800,180,Szary
2016,40220,1984,220,Niebieski
2017,5,1600,120,Srebrny
2017,5,1600,120,Srebrny
2014,82000,1968,177,Beżowy
2013,138500,1968,140,Brązowy
2009,203000,1968,140,Czarny
2011,159402,2000,140,Srebrny
2006,203000,1968,170,Czarny
2005,190337,1968,140,Niebieski
2008,48783,1390,122,Czarny
1996,416584,1900,110,Srebrny
2012,44328,1968,170,Niebieski
2015,154000,2000,150,Brązowy
2002,198765,1600,101,Inny kolor
2013,145000,1986,140,Czarny
2015,178000,1968,150,Czarny
2017,2900,1395,125,Inny kolor
2006,244284,1968,140,Srebrny
2010,192112,1997,110,Szary
2009,318000,2009,110,Czarny
2006,215000,2000,150,Czarny
2010,267000,1968,140,Srebrny
2017,1,1800,180,Biały
2006,234000,1896,105,Szary
2018,1,2000,240,Czarny
2016,159000,1998,190,Szary
2014,90637,1390,125,Srebrny
2018,1,1800,180,Czarny
2013,74899,1998,170,Brązowy
2011,236000,1390,122,Beżowy
2014,117438,1968,140,Brązowy
2015,113501,1968,220,Czarny
2015,159300,2000,150,Brązowy
2018,1,1968,240,Czarny
2018,1,1400,150,Biały
2016,77256,1798,180,Biały
2015,92000,1968,190,Czarny
2015,169000,1598,120,Srebrny
2014,127200,1968,140,Szary
2014,61710,1968,177,Inny kolor
2013,105138,1968,177,Inny kolor
2015,82363,1968,190,Czarny
2018,1,1395,150,Srebrny
2007,250000,2000,143,Czarny
2015,144321,1968,150,Czarny
2016,37100,1968,150,Szary
2016,49392,1968,190,Inny kolor
2013,82291,1968,177,Inny kolor
2007,232500,1968,140,Srebrny
2017,5,2000,150,Szary
2017,5,1600,120,Szary
2017,1,1598,120,Srebrny
2017,1,1968,150,Szary
2011,260000,1600,105,Szary
2009,244000,1986,140,Srebrny
2008,130500,1968,140,Czarny
2017,35900,1986,150,Czarny
2013,117000,1968,140,Szary
2012,101000,2000,177,Inny kolor
2012,671000,1980,170,Brązowy
2004,223000,1900,130,Zielony
2004,232000,1896,101,Inny kolor
2014,126534,1968,140,Inny kolor
2008,170981,1968,140,Czarny
2017,1,1598,120,Brązowy
2011,213250,1968,140,Czarny
2012,201406,2000,170,Czarny
2017,1,2000,190,Czarny
2014,165000,2000,140,Brązowy
2018,1,2000,150,Biały
2018,1,1800,180,Brązowy
2007,272000,1896,105,Czarny
2012,72484,1390,160,Biały
2015,136095,1968,150,Bordowy
2018,1,1800,180,Czarny
2015,71000,1968,150,Czarny
2014,130735,1968,140,Szary
2016,163206,2000,150,Niebieski
2016,54444,1395,125,Brązowy
2017,139000,1997,150,Inny kolor
2007,185000,2000,140,Srebrny
2011,212000,2000,140,Czarny
2015,57000,1800,180,Szary
2013,182287,2000,140,Czarny
2018,4000,1800,180,Biały
2002,278000,1900,130,Srebrny
2002,372000,1890,130,Srebrny
2006,139000,1998,140,Srebrny
2013,179300,1968,140,Szary
2006,260000,2000,140,Czarny
2012,190000,1600,105,Czarny
2007,263000,2000,140,Czarny
2012,170423,2000,140,Inny kolor
2007,230000,1900,105,Czarny
2004,245736,1900,101,Czarny
2001,275000,1896,130,Srebrny
2013,179000,1989,217,Czarny
2006,380000,1900,105,Czarny
2000,30000,2500,150,Czarny
2011,245000,1968,170,Czarny
2010,278000,2000,170,Czarny
2017,1,2000,190,Czarny
2006,270000,1968,140,Inny kolor
2010,99999,1798,170,Srebrny
2004,304000,1900,130,Srebrny
2017,5,1600,120,Srebrny
2017,5,2000,150,Szary
1998,171466,1800,125,Zielony
2018,7000,1968,150,Czarny
2005,216000,1900,101,Niebieski
2018,1,1800,180,Srebrny
2011,196365,2000,140,Szary
2011,295000,1968,170,Inny kolor
2011,21200,1800,160,Szary
2016,35000,2000,150,Niebieski
2007,275000,2000,140,Niebieski
2003,189000,1781,150,Niebieski
2000,214000,1600,101,Czarny
2018,2,1800,180,Brązowy
2001,338000,1900,130,Inny kolor
2018,5,2000,150,Szary
2017,5,1800,180,Czarny
2018,5,1800,180,Srebrny
2018,5,1400,150,Srebrny
2008,203000,2000,140,Czarny
2001,248000,1900,130,Niebieski
2018,2,1800,180,Szary
2008,261300,1968,136,Niebieski
2000,177000,1998,115,Czerwony
2007,216000,1896,105,Czarny
2005,221000,1968,136,Szary
2014,140000,2000,140,Czarny
2008,234000,1999,144,Srebrny
2006,230854,2000,140,Czarny
2006,230854,2000,140,Czarny
2007,162000,2000,140,Srebrny
2007,297000,2000,140,Srebrny
2004,274000,1896,130,Niebieski
2018,3,1798,180,Szary
2017,5,1968,150,Szary
2006,272000,1998,140,Złoty
2001,331000,1900,130,Niebieski
2018,2,1400,125,Brązowy
2016,61000,1398,125,Niebieski
2011,225560,2000,170,Czarny
2000,233000,1595,101,Czarny
2018,7,1395,125,Srebrny
2014,62000,2000,140,Biały
2014,128557,1968,140,Brązowy
2014,132000,2000,140,Beżowy
2012,267000,1986,140,Srebrny
2014,133745,1968,140,Złoty
1997,288000,1595,100,Inny kolor
2014,130000,2000,140,Czarny
2007,300000,1998,170,Srebrny
2011,196800,1968,170,Czarny
2016,45440,1998,150,Szary
2017,2741,1968,150,Srebrny
2014,172475,1968,140,Srebrny
1999,319000,1896,90,Niebieski
2007,246800,1968,140,Czarny
2005,135400,1984,140,Szary
2006,230000,1900,105,Czarny
2006,193000,1968,140,Niebieski
2014,108040,2000,177,Biały
2015,192000,1998,150,Beżowy
2007,216000,2000,140,Czarny
2007,220000,1900,105,Beżowy
2002,346658,1800,150,Szary
2014,71000,2000,140,Czarny
2013,159093,1968,177,Biały
2009,115672,1900,105,Brązowy
2006,280000,1968,140,Niebieski
2004,200600,2000,136,Niebieski
2006,250000,1968,140,Czarny
2017,14900,1968,150,Czarny
2017,14900,1968,150,Brązowy
2012,184822,1968,140,Srebrny
2018,5,2000,220,Srebrny
2018,5,2000,220,Czarny
2006,153000,1968,140,Srebrny
2015,48974,2000,150,Szary
2011,177000,2000,140,Szary
2018,1,1800,180,Szary
2015,159000,2000,150,Szary
2005,196200,2000,150,Złoty
2015,117750,2000,150,Srebrny
2018,1,1798,180,Inny kolor
2013,130000,2000,170,Srebrny
2011,145000,2000,140,Srebrny
2006,240000,2000,130,Niebieski
2007,280000,2000,140,Niebieski
2006,243000,2000,140,Srebrny
2004,208000,1900,101,Srebrny
